calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 2.850000 215.302208 102.921992 0.419512 4075.643770 -880.785724 -22.835825 3371.046813 37.967958 0.678555 2.626721 0.006701 0.000000 0.000000 
1 2.900000 217.358452 103.839051 0.419512 4166.293049 -942.345792 -23.458100 3539.644872 39.363233 0.696980 2.251475 0.000000 0.000000 0.000000 
1 2.950000 219.757405 104.908953 0.426213 4265.969009 -1021.256942 -24.214987 3741.800231 41.030221 0.715405 2.626721 0.006701 0.000000 0.000000 
1 3.000000 221.807458 105.839769 0.426213 4359.573519 -1088.704578 -24.880898 3922.911172 42.496841 0.733831 2.251475 -0.000000 0.000000 0.000000 
1 3.050000 223.857512 106.770585 0.426213 4454.433674 -1158.917680 -25.563960 4110.112845 44.001233 0.752256 2.251475 0.000000 0.000000 0.000000 
1 3.100000 225.907565 107.701402 0.426213 4550.581403 -1231.966567 -26.264172 4303.560123 45.543397 0.770681 2.251475 0.000000 0.000000 0.000000 
1 3.150000 227.615943 108.477082 0.419512 4639.369512 -1291.291021 -26.853138 4471.489826 46.863988 0.789106 1.876229 -0.006701 0.000000 0.000000 
1 3.200000 229.672188 109.394140 0.419512 4737.479986 -1369.478312 -27.576794 4677.140138 48.486583 0.807531 2.251475 0.000000 0.000000 0.000000 
1 3.250000 232.071140 110.464042 0.412811 4844.979112 -1467.739014 -28.427773 4924.438932 50.429557 0.825956 2.626721 -0.006701 0.000000 0.000000 
1 3.300000 233.789759 111.216758 0.406110 4936.337392 -1534.201265 -29.039958 5109.753113 51.853196 0.844381 1.876229 -0.006701 0.000000 0.000000 
1 3.350000 235.858109 112.106178 0.406110 5037.426948 -1620.969387 -29.790968 5336.883617 53.599672 0.862807 2.251475 0.000000 0.000000 0.000000 
1 3.400000 238.271184 113.143835 0.399409 5148.231371 -1729.244584 -30.672293 5610.093896 55.687641 0.881232 2.626721 -0.006701 0.000000 0.000000 
1 3.450000 240.345447 114.019375 0.399409 5251.659952 -1822.523107 -31.443847 5853.644957 57.515548 0.899657 2.251475 0.000000 0.000000 0.000000 
1 3.500000 242.765421 115.040839 0.392708 5365.104330 -1938.411502 -32.348205 6146.558761 59.698803 0.918082 2.626721 -0.006701 0.000000 0.000000 
1 3.550000 245.192185 116.046064 0.386008 5479.574122 -2058.223564 -33.256135 6450.733165 61.932905 0.936507 2.626721 -0.006701 0.000000 0.000000 
1 3.600000 247.625630 117.035006 0.379307 5595.009919 -2181.954065 -34.166994 6766.465629 64.217999 0.954932 2.626721 -0.006701 0.000000 0.000000 
1 3.650000 250.065647 118.007619 0.372606 5711.350522 -2309.593299 -35.080140 7094.054839 66.554221 0.973357 2.626721 -0.006701 0.000000 0.000000 
1 3.700000 252.861624 119.100466 0.372606 5839.311120 -2463.792801 -36.143871 7481.489793 69.275706 0.991783 3.001966 -0.000000 0.000000 0.000000 
1 3.750000 255.657600 120.193314 0.372606 5969.618715 -2623.996938 -37.227738 7884.287202 72.048707 1.010208 3.001966 0.000000 0.000000 0.000000 
1 3.800000 258.453577 121.286161 0.372606 6102.317318 -2790.318309 -38.331741 8302.735144 74.873224 1.028633 3.001966 0.000000 0.000000 0.000000 
1 3.850000 261.249554 122.379009 0.372606 6237.450940 -2962.869513 -39.455880 8737.121693 77.749258 1.047058 3.001966 0.000000 0.000000 0.000000 
1 3.900000 264.395028 123.608462 0.379307 6387.626828 -3168.108110 -40.765229 9243.173223 81.034052 1.065483 3.377212 0.006701 0.000000 0.000000 
1 3.950000 267.183619 124.720020 0.379307 6529.428300 -3355.288058 -41.949575 9711.322437 84.005249 1.083908 3.001966 0.000000 0.000000 0.000000 
1 4.000000 270.320784 125.970523 0.372606 6684.340401 -3575.120060 -43.282190 10258.176896 87.414654 1.102333 3.377212 -0.006701 0.000000 0.000000 
1 4.050000 273.466258 127.199976 0.379307 6844.172350 -3804.665877 -44.660661 10825.416320 90.872856 1.120759 3.377212 0.006701 0.000000 0.000000 
1 4.100000 275.906275 128.172590 0.386008 6983.192958 -3985.756688 -45.769026 11282.511605 93.600161 1.139184 2.626721 0.006701 0.000000 0.000000 
1 4.150000 279.034990 129.444086 0.392708 7152.721575 -4233.698329 -47.241344 11886.152418 97.154556 1.157609 3.377212 0.006701 0.000000 0.000000 
2 4.150000 279.034990 129.444086 0.392708 7152.721575 -4233.698329 -47.241344 11886.152418 97.154556 1.157609 0.000000 0.000000 0.000000 -50.000000 
3 4.150000 277.212218 129.942032 0.397647 820.792436 -2503.938089 -30.084257 11413.615467 92.467573 1.111120 0.000000 0.000000 0.000000 0.000000 
1 4.200000 279.979955 131.104545 0.397647 941.356918 -2677.643256 -31.375948 11942.643860 95.542860 1.129545 3.001966 0.000000 0.000000 0.000000 
2 4.200000 279.979955 131.104545 0.397647 941.356918 -2677.643256 -31.375948 11942.643860 95.542860 1.129545 0.000000 0.000000 0.000000 -50.000000 
3 4.200000 279.176093 132.070827 0.406873 805.461620 -2514.290411 -29.816272 11746.285691 93.668053 1.111644 0.000000 0.000000 0.000000 0.000000 
1 4.250000 281.932986 133.258825 0.420275 928.331696 -2692.944648 -31.177856 12277.691762 96.714765 1.130070 3.001966 0.013402 0.000000 0.000000 
1 4.300000 284.331121 134.330557 0.426976 1045.370047 -2853.850844 -32.407120 12756.531474 99.416648 1.148495 2.626721 0.006701 0.000000 0.000000 
1 4.350000 287.063577 135.573732 0.440378 1177.473872 -3050.785697 -33.876827 13315.442444 102.535444 1.166920 3.001966 0.013402 0.000000 0.000000 
1 4.400000 289.100241 136.533493 0.453779 1292.159065 -3200.103460 -35.028541 13746.309735 104.896845 1.185345 2.251475 0.013402 0.000000 0.000000 
1 4.450000 291.461129 137.684956 0.473882 1423.587083 -3387.571440 -36.449398 14255.161515 107.667311 1.203770 2.626721 0.020102 0.000000 0.000000 
1 4.500000 293.130604 138.541161 0.493984 1534.181440 -3521.210933 -37.520261 14627.153184 109.655852 1.222195 1.876229 0.020102 0.000000 0.000000 
1 4.550000 295.112917 139.608669 0.520787 1663.255869 -3695.065347 -38.889426 15074.433610 112.042789 1.240620 2.251475 0.026803 0.000000 0.000000 
1 4.600000 296.740410 140.542212 0.540890 1782.015644 -3842.279251 -40.087951 15453.381043 114.038201 1.259046 1.876229 0.020102 0.000000 0.000000 
1 4.650000 298.348809 141.508280 0.574394 1905.779704 -3997.339845 -41.371427 15832.813144 116.021368 1.277471 1.876229 0.033504 0.000000 0.000000 
1 4.700000 299.923944 142.527684 0.594496 2033.796705 -4158.842998 -42.713870 16214.695528 118.006974 1.295896 1.876229 0.020102 0.000000 0.000000 
1 4.750000 301.478270 143.578544 0.614599 2166.305878 -4326.917114 -44.115888 16598.735985 119.993437 1.314321 1.876229 0.020102 0.000000 0.000000 
1 4.800000 302.398003 144.227679 0.634701 2263.252261 -4420.209615 -44.993186 16837.678216 121.184868 1.332746 1.125737 0.020102 0.000000 0.000000 
1 4.850000 303.908834 145.340165 0.641402 2403.045430 -4598.438409 -46.489306 17225.739965 123.188442 1.351171 1.876229 0.006701 0.000000 0.000000 
1 4.900000 305.111508 146.238232 0.654804 2525.517611 -4739.952107 -47.724417 17542.404614 124.797054 1.369596 1.500983 0.013402 0.000000 0.000000 
1 4.950000 306.599672 147.380862 0.661505 2673.325414 -4928.773777 -49.302982 17936.728987 126.824705 1.388022 1.876229 0.006701 0.000000 0.000000 
1 5.000000 308.080146 148.533439 0.654804 2824.158794 -5121.507876 -50.888977 18338.705034 128.890309 1.406447 1.876229 -0.006701 0.000000 0.000000 
1 5.050000 309.568310 149.676069 0.648103 2977.964494 -5318.186803 -52.481965 18748.493507 130.994054 1.424872 1.876229 -0.006701 0.000000 0.000000 
1 5.100000 311.064096 150.808701 0.641402 3134.687329 -5518.840910 -54.081503 19166.256602 133.136125 1.443297 1.876229 -0.006701 0.000000 0.000000 
1 5.150000 312.868108 152.155802 0.628000 3318.127099 -5769.492582 -55.990703 19676.114827 135.765671 1.461722 2.251475 -0.013402 0.000000 0.000000 
1 5.200000 314.993660 153.699074 0.621300 3530.966388 -6074.089951 -58.225667 20282.310194 138.887684 1.480147 2.626721 -0.006701 0.000000 0.000000 
1 5.250000 316.824386 155.009640 0.607898 3722.093141 -6336.724332 -60.129011 20819.577541 141.623180 1.498572 2.251475 -0.013402 0.000000 0.000000 
1 5.300000 318.672509 156.295555 0.594496 3915.780514 -6604.182187 -62.018758 21371.225608 144.418303 1.516998 2.251475 -0.013402 0.000000 0.000000 
1 5.350000 321.159431 157.976931 0.581095 4164.670878 -6977.548560 -64.518615 22122.946007 148.224800 1.535423 3.001966 -0.013402 0.000000 0.000000 
1 5.400000 324.295968 160.036802 0.567693 4472.350015 -7464.349153 -67.616565 23092.945997 153.082664 1.553848 3.752458 -0.013402 0.000000 0.000000 
2 5.400000 324.295968 160.036802 0.567693 4472.350015 -7464.349153 -67.616565 23092.945997 153.082664 1.553848 0.000000 0.000000 0.000000 50.000000 
3 5.400000 322.116577 163.674205 0.600643 6.241278 -10.416689 -0.094361 10652.337753 40.388150 0.532993 0.000000 0.000000 0.000000 0.000000 
1 5.450000 324.593117 165.370835 0.587241 48.072719 -53.393817 -0.980882 10875.269033 41.720129 0.551418 3.001966 -0.013402 0.000000 0.000000 
1 5.500000 327.716934 167.449946 0.587241 94.578065 -120.128720 -2.127343 11159.040300 43.442659 0.569844 3.752458 0.000000 0.000000 0.000000 
1 5.550000 330.840752 169.529058 0.573840 146.363007 -192.643504 -3.288149 11455.537969 45.238464 0.588269 3.752458 -0.013402 0.000000 0.000000 
1 5.600000 334.307292 171.769825 0.567139 204.943756 -282.766905 -4.592628 11794.337544 47.286508 0.606694 4.127704 -0.006701 0.000000 0.000000 
1 5.650000 337.788768 173.987314 0.560438 269.472903 -381.214318 -5.923781 12148.731539 49.407665 0.625119 4.127704 -0.006701 0.000000 0.000000 
1 5.700000 341.285026 176.181425 0.553737 339.937457 -488.177120 -7.280686 12519.344580 51.602384 0.643544 4.127704 -0.006701 0.000000 0.000000 
1 5.750000 345.115078 178.549389 0.553737 419.829268 -618.246927 -8.804575 12940.043329 54.067191 0.661969 4.502949 -0.000000 0.000000 0.000000 
1 5.800000 348.625959 180.720023 0.547036 502.836431 -744.712704 -10.225862 13345.115149 56.400863 0.680394 4.127704 -0.006701 0.000000 0.000000 
1 5.850000 352.471793 183.062269 0.547036 596.619823 -896.603905 -11.819513 13804.628687 59.017546 0.698820 4.502949 0.000000 0.000000 0.000000 
1 5.900000 355.997140 185.209329 0.540335 692.455984 -1043.521023 -13.303379 14246.478577 61.491126 0.717245 4.127704 -0.006701 0.000000 0.000000 
1 5.950000 359.858582 187.525753 0.540335 800.427618 -1218.256889 -14.964822 14747.352799 64.260725 0.735670 4.502949 0.000000 0.000000 0.000000 
1 6.000000 363.398237 189.649141 0.533635 909.342576 -1386.546610 -16.509451 15228.334379 66.875151 0.754095 4.127704 -0.006701 0.000000 0.000000 
1 6.050000 366.952041 191.748764 0.526934 1024.299930 -1564.734764 -18.074772 15729.739312 69.565606 0.772520 4.127704 -0.006701 0.000000 0.000000 
1 6.100000 370.844179 194.013232 0.526934 1153.289483 -1774.306244 -19.824119 16297.572428 72.572361 0.790945 4.502949 0.000000 0.000000 0.000000 
1 6.150000 373.763283 195.711583 0.520233 1265.582146 -1933.199045 -21.151921 16743.976519 74.890161 0.809370 3.377212 -0.006701 0.000000 0.000000 
1 6.200000 377.019303 197.576863 0.520233 1390.810731 -2121.754707 -22.661623 17254.522188 77.525487 0.827796 3.752458 0.000000 0.000000 0.000000 
1 6.250000 380.275323 199.442144 0.506831 1520.279192 -2317.737360 -24.169435 17785.726042 80.241257 0.846221 3.752458 -0.013402 0.000000 0.000000 
1 6.300000 382.899903 200.899327 0.506831 1636.681308 -2476.812897 -25.402533 18226.368913 82.462231 0.864646 3.001966 -0.000000 0.000000 0.000000 
1 6.350000 385.852556 202.538657 0.500131 1765.722304 -2665.478605 -26.802835 18736.015536 85.024670 0.883071 3.377212 -0.006701 0.000000 0.000000 
1 6.400000 388.486841 203.978221 0.500131 1889.215032 -2837.517417 -28.074071 19203.389354 87.350931 0.901496 3.001966 -0.000000 0.000000 0.000000 
1 6.450000 390.462555 205.057893 0.500131 1995.381451 -2964.902454 -29.047392 19565.356510 89.132029 0.919921 2.251475 0.000000 0.000000 0.000000 
1 6.500000 393.096841 206.497456 0.500131 2125.412910 -3148.906617 -30.371677 20054.625962 91.555364 0.938346 3.001966 -0.000000 0.000000 0.000000 
1 6.550000 395.072555 207.577129 0.500131 2236.583608 -3285.449083 -31.384783 20433.350477 93.409268 0.956772 2.251475 0.000000 0.000000 0.000000 
1 6.600000 397.048268 208.656801 0.500131 2349.963431 -3426.034070 -32.417783 20819.472482 95.299575 0.975197 2.251475 0.000000 0.000000 0.000000 
1 6.650000 399.023982 209.736474 0.513532 2466.704690 -3572.404982 -33.496402 21210.945247 97.212002 0.993622 2.251475 0.013402 0.000000 0.000000 
1 6.700000 400.658206 210.658184 0.520233 2573.553180 -3694.187750 -34.423094 21544.380233 98.829628 1.012047 1.876229 0.006701 0.000000 0.000000 
1 6.750000 402.611818 211.777353 0.533635 2696.557446 -3851.041141 -35.582139 21946.283746 100.791419 1.030472 2.251475 0.013402 0.000000 0.000000 
1 6.800000 404.550256 212.922601 0.547036 2823.460599 -4014.152997 -36.788949 22353.354600 102.772931 1.048897 2.251475 0.013402 0.000000 0.000000 
1 6.850000 406.152687 213.898538 0.567139 2939.794260 -4151.452590 -37.846185 22697.931516 104.432800 1.067322 1.876229 0.020102 0.000000 0.000000 
1 6.900000 408.051674 215.108077 0.580540 3075.291971 -4327.645867 -39.164199 23112.308360 106.442149 1.085748 2.251475 0.013402 0.000000 0.000000 
1 6.950000 409.620514 216.137143 0.600643 3198.896509 -4475.977694 -40.315519 23462.876344 108.122709 1.104173 1.876229 0.020102 0.000000 0.000000 
1 7.000000 411.168351 217.197537 0.620745 3326.437013 -4630.001947 -41.520495 23815.031897 109.807908 1.122598 1.876229 0.020102 0.000000 0.000000 
1 7.050000 412.999802 218.507088 0.634147 3476.706908 -4826.927777 -43.018015 24237.334039 111.844005 1.141023 2.251475 0.013402 0.000000 0.000000 
1 7.100000 414.813539 219.841066 0.660950 3633.804842 -5032.768061 -44.595030 24660.280864 113.871985 1.159448 2.251475 0.026803 0.000000 0.000000 
1 7.150000 416.590874 221.223172 0.674352 3796.734104 -5245.962103 -46.224984 25086.916462 115.911053 1.177873 2.251475 0.013402 0.000000 0.000000 
1 7.200000 418.642637 222.863274 0.694454 3989.588631 -5509.691991 -48.205003 25583.284766 118.288449 1.196298 2.626721 0.020102 0.000000 0.000000 
1 7.250000 420.661017 224.544286 0.701155 4190.125584 -5782.469598 -50.232130 26086.976359 120.689504 1.214724 2.626721 0.006701 0.000000 0.000000 
1 7.300000 422.954812 226.480857 0.714557 4425.423267 -6110.607984 -52.621657 26665.393562 123.444056 1.233149 3.001966 0.013402 0.000000 0.000000 
1 7.350000 424.938994 228.202101 0.721258 4644.264446 -6404.089502 -54.760555 27182.399044 125.876569 1.251574 2.626721 0.006701 0.000000 0.000000 
1 7.400000 427.193398 230.184388 0.734659 4901.541598 -6756.248653 -57.279123 27775.388275 128.664621 1.269999 3.001966 0.013402 0.000000 0.000000 
1 7.450000 429.421035 232.196709 0.748061 5171.810357 -7121.918335 -59.872452 28374.518004 131.459215 1.288424 3.001966 0.013402 0.000000 0.000000 
1 7.500000 431.346446 233.983453 0.754762 5422.136383 -7448.652836 -62.191108 28909.423298 133.924479 1.306849 2.626721 0.006701 0.000000 0.000000 
1 7.550000 433.806525 236.297232 0.761462 5749.342410 -7891.339179 -65.236343 29599.502777 137.119098 1.325274 3.377212 0.006701 0.000000 0.000000 
1 7.600000 435.979431 238.368531 0.774864 6058.710408 -8296.336107 -68.019727 30222.110253 139.961749 1.343700 3.001966 0.013402 0.000000 0.000000 
1 7.650000 438.392504 240.731293 0.781565 6419.047877 -8771.116806 -71.216225 30929.529645 143.182847 1.362125 3.377212 0.006701 0.000000 0.000000 
1 7.700000 440.523336 242.845851 0.781565 6755.432255 -9202.882736 -74.096517 31574.580612 146.085306 1.380550 3.001966 -0.000000 0.000000 0.000000 
1 7.750000 442.654168 244.960410 0.794967 7107.676134 -9649.039944 -77.054931 32224.356797 148.987640 1.398975 3.001966 0.013402 0.000000 0.000000 
1 7.800000 445.019259 247.371199 0.801667 7517.824914 -10170.662448 -80.449660 32961.815047 152.273669 1.417400 3.377212 0.006701 0.000000 0.000000 
1 7.850000 446.846168 249.258542 0.808368 7856.138143 -10581.890700 -83.142071 33549.214087 154.845147 1.435825 2.626721 0.006701 0.000000 0.000000 
1 7.900000 448.919564 251.429447 0.821770 8255.443997 -11069.907693 -86.298728 34219.247228 157.780142 1.454250 3.001966 0.013402 0.000000 0.000000 
1 7.950000 451.219196 253.902756 0.828471 8720.392484 -11639.068811 -89.917866 34978.629718 161.100207 1.472676 3.377212 0.006701 0.000000 0.000000 
1 8.000000 452.994869 255.838382 0.835171 9102.223958 -12087.610970 -92.785873 35582.897649 163.696036 1.491101 2.626721 0.006701 0.000000 0.000000 
1 8.050000 455.009340 258.064074 0.848573 9553.037713 -12618.469541 -96.144561 36270.998531 166.655071 1.509526 3.001966 0.013402 0.000000 0.000000 
1 8.100000 456.745745 260.035002 0.855274 9965.053811 -13091.086690 -99.137225 36882.742322 169.256225 1.527951 2.626721 0.006701 0.000000 0.000000 
1 8.150000 458.468905 262.017521 0.875376 10394.859194 -13576.041185 -102.218729 37490.834825 171.827706 1.546376 2.626721 0.020102 0.000000 0.000000 
1 8.200000 460.151865 264.034277 0.882077 10839.154809 -14072.033617 -105.354761 38103.288041 174.409240 1.564801 2.626721 0.006701 0.000000 0.000000 
1 8.250000 461.821275 266.062265 0.888778 11298.284787 -14579.129069 -108.545592 38719.967241 177.000211 1.583226 2.626721 0.006701 0.000000 0.000000 
1 8.300000 463.240517 267.810089 0.902180 11708.962538 -15019.126888 -111.342657 39252.703970 179.209907 1.601652 2.251475 0.013402 0.000000 0.000000 
1 8.350000 464.868824 269.871224 0.908880 12199.070557 -15547.551640 -114.661278 39871.486103 181.795708 1.620077 2.626721 0.006701 0.000000 0.000000 
1 8.400000 466.252646 271.647224 0.908880 12633.285301 -16005.059126 -117.538534 40413.687649 184.037606 1.638502 2.251475 0.000000 0.000000 0.000000 
1 8.450000 467.867105 273.719223 0.915581 13151.457928 -16554.037498 -120.951158 41043.331847 186.660092 1.656927 2.626721 0.006701 0.000000 0.000000 
1 8.500000 469.467644 275.801995 0.922282 13686.209402 -17114.384140 -124.419851 41676.494058 189.288885 1.675352 2.626721 0.006701 0.000000 0.000000 
